"","country","emissions","renewables"
"1","Canada",550.294100171036,45.3049379504258
"2","Trinidad & Tobago",20.7170744017444,0.00398907103825137
"3","Venezuela",123.709743998074,0.0100080889163322
"4","Central America",74.8148623282499,15.1851144415285
"5","Austria",61.2010934342169,12.2419083147597
"6","Belgium",129.590742406962,16.867842051871
"7","Bulgaria",42.6847706177682,2.97809297240793
"8","Croatia",16.8712995652259,2.13539344894007
"9","Cyprus",8.22980521497902,0.4638
"10","Czech Republic",103.247403889401,7.6764
"11","Denmark",35.6619483321933,20.9715724189119
"12","Mexico",462.47781729432,21.3522907587632
"13","Estonia",25.6644525919884,2.01641831566236
"14","Finland",46.5678865370912,18.8808842105264
"15","France",311.760071032198,46.8472910726856
"16","Germany",725.673471289634,209.191
"17","Greece",76.2232313433469,10.3896644397482
"18","Hungary",47.6822303474543,3.56805853808985
"19","Iceland",3.46842388263395,6.01378061509972
"20","Ireland",39.1285718403989,9.65559100409054
"21","Italy",336.346798277142,66.0154451425111
"22","Latvia",7.81269556937682,1.08669766574537
"23","US",5145.16318720394,458.524324720891
"24","Lithuania",12.1484586400503,1.695
"25","Luxembourg",10.7412234638486,0.650730287765707
"26","Netherlands",202.672083894996,18.6262852958628
"27","North Macedonia",7.3394462894071,0.174176
"28","Norway",35.4570741663768,4.118636199906
"29","Poland",322.536263204881,19.475
"30","Portugal",54.535724714556,17.116
"31","Romania",71.9862063321189,8.6327102
"32","Slovakia",32.8527627058952,2.00947826086957
"33","Slovenia",13.6865544205802,0.548055670203735
"34","Argentina",180.288732201186,3.81776772205605
"35","Spain",295.209887647502,70.7355024281062
"36","Sweden",44.8286294158828,29.0452052575031
"37","Switzerland",36.6371464761195,4.0644428303001
"38","Turkey",389.857470678732,37.7001778849976
"39","Ukraine",186.543615089843,2.6324
"40","United Kingdom",394.136617304486,105.624137422999
"41","Azerbaijan",31.758930669037,0.20256
"42","Belarus",56.6490029911026,0.361613572997138
"43","Kazakhstan",248.122091246049,0.6583836
"44","Russian Federation",1550.77412724396,1.2633
"45","Brazil",441.760773798866,104.506970492179
"46","Turkmenistan",78.4875224658023,0.00696
"47","USSR",NA,NA
"48","Uzbekistan",104.271737686548,0
"49","Iran",656.363340053637,0.421413066290015
"50","Iraq",151.397200034634,0.0571434426229508
"51","Israel",69.6412435293633,2.0135
"52","Kuwait",98.1741581070587,0.1055953341054
"53","Oman",71.3904940665182,0.0137186744953366
"54","Qatar",101.15784535516,0.123910172661203
"55","Saudi Arabia",571.020081022821,0.154871783370389
"56","Chile",95.8044869802389,15.5447984647285
"57","United Arab Emirates",276.980190936477,0.953617106167997
"58","Algeria",135.530545124818,0.613
"59","Egypt",224.206096637435,3.47470588235294
"60","Morocco",62.7677993438317,4.7909
"61","South Africa",421.130673384333,12.3604310046842
"62","Eastern Africa",113.039596363601,8.65323460111539
"63","Middle Africa",46.1340829470861,0.0741202681578114
"64","Western Africa",147.2395968052,0.994472977843684
"65","Australia",416.566732249662,31.886929
"66","Bangladesh",90.4249443160245,0.312314351995949
"67","Colombia",98.0600505483904,2.14427533308928
"68","China",9428.71223083449,634.223461748634
"69","China Hong Kong SAR",99.5009912455058,0.102510043715847
"70","India",2479.07190249901,121.50226
"71","Indonesia",542.97078660862,14.75316
"72","Japan",1148.42640503084,112.133418693823
"73","Malaysia",250.294079181126,1.4640328112771
"74","New Zealand",35.8686918183041,10.4651557652962
"75","Pakistan",195.706899810209,5.51366165951871
"76","Philippines",133.743102150257,13.942169
"77","Singapore",230.012184096467,1.18698255466397
"78","Ecuador",37.066081048271,0.546216960831
"79","South Korea",697.584006751192,21.9283615842458
"80","Sri Lanka",20.5988465575381,0.624393639658395
"81","Taiwan",286.031432885344,6.42675
"82","Thailand",302.388083037585,17.800316928
"83","Vietnam",224.525604206454,0.467728905612414
"84","Peru",52.3072906033809,2.91324154700609
